customer_id,device_platform,marketing_channels,account_created_date
1531333,iOS,Other,3/9/20
1531336,iOS,Other,3/9/20
1531372,Android,Facebook,3/9/20
1531386,Android,Facebook,3/9/20
1531477,iOS,Varo Home,3/9/20
1531479,Android,Other,3/9/20
1531487,Android,Google,3/9/20
1531557,Android,Facebook,3/9/20
1531558,Android,Google,3/9/20
1531604,Android,Facebook,3/9/20
1531608,iOS,Referral,3/9/20
1531622,Android,Other,3/9/20
1531703,iOS,Apple Search,3/9/20
1531752,iOS,Varo Home,3/9/20
1531797,iOS,Other,3/9/20
1531838,iOS,Other,3/9/20
1531846,Android,Referral,3/9/20
1531872,Android,Other,3/9/20
1531878,Android,Other,3/9/20
1531945,Android,Google,3/9/20
1531979,Android,Facebook,3/9/20
1531999,Android,Google,3/9/20
1532052,Android,Referral,3/9/20
1532055,Android,Other,3/9/20
1532065,Android,Facebook,3/9/20
1532084,iOS,Facebook,3/9/20
1532114,iOS,Facebook,3/9/20
1532149,Android,Facebook,3/9/20
1532212,Android,Varo Home,3/9/20
1532228,Android,Google,3/9/20
1532275,Android,Other,3/9/20
1532277,iOS,Other,3/9/20
1532303,Android,Varo Home,3/9/20
1532323,iOS,Other,3/9/20
1532341,Android,Other,3/9/20
1532378,iOS,Facebook,3/9/20
1532398,Android,Google,3/9/20
1532409,Android,Google,3/9/20
1532412,Android,Google,3/9/20
1532418,Android,Google,3/9/20
1532420,Android,Google,3/9/20
1532437,Android,Google,3/9/20
1532501,Android,Google,3/9/20
1532507,Android,Referral,3/9/20
1532549,Android,Facebook,3/9/20
1532558,Android,Google,3/9/20
1532560,Android,Google,3/9/20
1532568,iOS,Other,3/9/20
1532583,iOS,Google,3/9/20
1532598,Android,Google,3/9/20
1532685,iOS,Other,3/9/20
1532717,Android,Google,3/9/20
1532740,iOS,Other,3/9/20
1532746,Android,Facebook,3/9/20
1532760,Android,Facebook,3/9/20
1532912,Android,Google,3/9/20
1532937,Android,Google,3/9/20
1532984,Android,Google,3/9/20
1533057,Android,Varo Home,3/9/20
1533085,iOS,Referral,3/9/20
1533092,Android,Facebook,3/9/20
1533125,Android,Facebook,3/9/20
1533189,Android,Facebook,3/9/20
1533191,Android,Referral,3/9/20
1533225,iOS,Other,3/9/20
1533228,iOS,Other,3/9/20
1533230,iOS,Varo Home,3/9/20
1533242,Android,Other,3/9/20
1533257,Android,Google,3/9/20
1533306,Android,Google,3/9/20
1533403,Android,Other,3/9/20
1533420,Android,Other,3/9/20
1533442,Android,Google,3/9/20
