customer_id,card_activation_date,
1587375,4/26/20,
1587376,4/25/20,
1587377,4/19/20,
1587378,4/4/20,
1587379,3/23/20,
1587380,4/26/20,
1587381,4/1/20,
1587382,4/30/20,
1587383,4/27/20,
1587384,4/20/20,
1587385,4/24/20,
1587386,3/26/20,
1587387,5/1/20,
1587388,4/18/20,
1587389,3/23/20,
1587390,4/17/20,
1587391,3/31/20,
1587392,4/22/20,
1587393,4/13/20,
1587394,3/29/20,
1587395,4/21/20,
1587396,3/10/20,
1587397,4/28/20,
1587398,3/13/20,
1587399,4/14/20,
1587400,3/9/20,
1587401,3/31/20,
1587402,4/23/20,
1587403,4/20/20,
1587404,3/26/20,
1587405,3/16/20,
1587406,3/16/20,
1587407,3/19/20,
1587408,4/15/20,
1587409,3/10/20,
1587410,3/23/20,
1587411,3/12/20,
1587412,3/31/20,
1587413,3/22/20,
1587414,3/24/20,
1587415,3/13/20,
1587416,3/31/20,
1587417,4/28/20,
1587418,4/28/20,
1587419,4/26/20,
1587420,3/31/20,
1587421,4/22/20,
1587422,4/15/20,
1587423,3/13/20,
1587424,3/16/20,
1587425,3/31/20,
1587426,3/27/20,
1587427,3/19/20,
1587428,4/11/20,
1587429,3/12/20,
1587430,3/23/20,
1587431,3/16/20,
1587432,4/24/20,
1587433,3/10/20,
1587434,4/22/20,
1587435,4/17/20,
1587436,3/14/20,
1587437,3/16/20,
1587438,4/27/20,
1587439,3/30/20,
1587440,4/1/20,
1587441,3/30/20,
1587442,4/21/20,
1587443,4/29/20,
1587444,3/29/20,
1587445,3/18/20,
1587446,4/13/20,
1587447,4/20/20,
1587448,3/23/20,
1587449,4/15/20,
1587450,3/13/20,
1587451,3/19/20,
1587452,3/27/20,
1587453,3/12/20,
1587454,3/13/20,
1587455,3/16/20,
1587456,4/25/20,
1587457,4/29/20,
1587458,4/28/20,
1587459,4/20/20,
1587460,3/30/20,
1587461,4/17/20,
1587462,4/10/20,
1587463,4/7/20,
1587464,4/28/20,
1587465,3/14/20,
1587466,3/12/20,
1587467,4/9/20,
1587468,4/28/20,
1587469,4/23/20,
1587470,3/25/20,
1587471,3/19/20,
1587472,4/24/20,
1587473,5/1/20,
1587474,4/17/20,
1587475,4/16/20,
1587476,3/16/20,
1587477,4/16/20,
1587478,4/30/20,
1587479,4/30/20,
1587480,4/14/20,
1587481,3/9/20,
1587482,4/14/20,
1587483,4/20/20,
1587484,3/13/20,
1587485,4/29/20,
1587486,4/27/20,
1587487,3/30/20,
1587488,3/20/20,
1587489,4/11/20,
1587490,4/29/20,
1587491,4/2/20,
1587492,4/27/20,
1587493,3/11/20,
1587494,4/14/20,
1587495,3/24/20,
1587496,4/6/20,
1587497,4/7/20,
1587498,3/19/20,
1587499,4/6/20,
1587500,3/19/20,
