customer_id,promotion_date,treatment_control
1536198,4/1/20,treatment
1536772,4/1/20,treatment
1551943,4/1/20,treatment
1552127,4/1/20,treatment
1546049,4/1/20,treatment
1548904,4/1/20,treatment
1533688,4/1/20,treatment
1532070,4/1/20,control
1533067,4/1/20,control
1544425,4/1/20,control
1549087,4/1/20,control
1554000,4/1/20,treatment
1548002,4/1/20,treatment
1550956,4/1/20,treatment
1536528,4/1/20,treatment
1551028,4/1/20,treatment
1540354,4/1/20,treatment
1549818,4/1/20,treatment
1546972,4/1/20,treatment
1547570,4/1/20,treatment
1553021,4/1/20,treatment
1535394,4/1/20,treatment
1537889,4/1/20,treatment
1542774,4/1/20,treatment
1546237,4/1/20,treatment
1545699,4/1/20,treatment
1548620,4/1/20,treatment
1554261,4/1/20,treatment
1550602,4/1/20,control
1546028,4/1/20,control
1532398,4/1/20,treatment
1541115,4/1/20,treatment
1541941,4/1/20,treatment
1540566,4/1/20,control
1534303,4/1/20,control
1531450,4/1/20,control
1553160,4/1/20,control
1541740,4/1/20,treatment
1556855,4/1/20,treatment
1536030,4/1/20,treatment
1538976,4/1/20,treatment
1552568,4/1/20,treatment
1531637,4/1/20,treatment
1550908,4/1/20,control
1555345,4/1/20,treatment
1533331,4/1/20,treatment
1537642,4/1/20,treatment
1546208,4/1/20,treatment
1539242,4/1/20,treatment
1544068,4/1/20,control
1556628,4/1/20,control
1542909,4/1/20,control
1554805,4/1/20,treatment
1535679,4/1/20,treatment
1539986,4/1/20,treatment
1539130,4/1/20,control
1532420,4/1/20,treatment
1549163,4/1/20,treatment
1541696,4/1/20,treatment
1541661,4/1/20,treatment
1541967,4/1/20,treatment
1553382,4/1/20,control
1541310,4/1/20,control
1556322,4/1/20,treatment
1553214,4/1/20,treatment
1535053,4/1/20,treatment
1546320,4/1/20,treatment
1533666,4/1/20,treatment
1538046,4/1/20,treatment
1531904,4/1/20,treatment
1549405,4/1/20,treatment
1545949,4/1/20,treatment
1557077,4/1/20,control
1549548,4/1/20,control
1552820,4/1/20,treatment
1547460,4/1/20,treatment
1553272,4/1/20,treatment
1545342,4/1/20,treatment
1555085,4/1/20,treatment
1534691,4/1/20,control
1553222,4/1/20,control
1534501,4/1/20,treatment
1546384,4/1/20,control
1554452,4/1/20,control
1542090,4/1/20,treatment
1552208,4/1/20,treatment
1553035,4/1/20,treatment
1531683,4/1/20,treatment
1552074,4/1/20,treatment
1552762,4/1/20,treatment
1555102,4/1/20,treatment
1552374,4/1/20,control
1534214,4/1/20,control
1543814,4/1/20,treatment
1549437,4/1/20,treatment
1535935,4/1/20,treatment
1543370,4/1/20,control
1548056,4/1/20,control
1548340,4/1/20,control
1542437,4/1/20,control
1548488,4/1/20,treatment
1543709,4/1/20,treatment
1549486,4/1/20,treatment
1534011,4/1/20,treatment
1549681,4/1/20,treatment
1533612,4/1/20,treatment
1539554,4/1/20,treatment
1555476,4/1/20,treatment
1549202,4/1/20,treatment
1552679,4/1/20,control
1537922,4/1/20,treatment
1533981,4/1/20,treatment
1553404,4/1/20,treatment
1551451,4/1/20,treatment
1531890,4/1/20,control
1539839,4/1/20,control
1534016,4/1/20,treatment
1553247,4/1/20,control
1541782,4/1/20,control
1538262,4/1/20,treatment
1545934,4/1/20,treatment
1548187,4/1/20,treatment
1534325,4/1/20,treatment
1542574,4/1/20,treatment
1549788,4/1/20,treatment
1546939,4/1/20,treatment
1548815,4/1/20,treatment
1546176,4/1/20,treatment
1542953,4/1/20,treatment
1553638,4/1/20,control
1554447,4/1/20,treatment
1547620,4/1/20,treatment
1540761,4/1/20,treatment
1538685,4/1/20,control
1532859,4/1/20,treatment
1554103,4/1/20,treatment
1542391,4/1/20,treatment
1552349,4/1/20,treatment
1533525,4/1/20,treatment
1542157,4/1/20,treatment
1542189,4/1/20,treatment
1538577,4/1/20,treatment
1556233,4/1/20,treatment
1554033,4/1/20,treatment
1557410,4/1/20,treatment
1538418,4/1/20,treatment
1550403,4/1/20,control
1536736,4/1/20,control
1531994,4/1/20,control
1535505,4/1/20,treatment
1546625,4/1/20,treatment
1532715,4/1/20,treatment
1545657,4/1/20,treatment
1537745,4/1/20,treatment
1543119,4/1/20,treatment
1537531,4/1/20,treatment
1557144,4/1/20,treatment
1552360,4/1/20,treatment
1543523,4/1/20,treatment
1534974,4/1/20,treatment
1554668,4/1/20,control
1538321,4/1/20,treatment
1554947,4/1/20,treatment
1534334,4/1/20,treatment
1533041,4/1/20,treatment
1533858,4/1/20,treatment
1546144,4/1/20,treatment
1546213,4/1/20,treatment
1543163,4/1/20,control
1544033,4/1/20,treatment
1547558,4/1/20,treatment
1551848,4/1/20,treatment
1538648,4/1/20,treatment
1543527,4/1/20,treatment
1551179,4/1/20,control
1548262,4/1/20,control
1537838,4/1/20,control
1533396,4/1/20,treatment
1556181,4/1/20,treatment
1534707,4/1/20,treatment
1536661,4/1/20,treatment
1536661,4/1/20,treatment
1546267,4/1/20,treatment
1537792,4/1/20,treatment
1541777,4/1/20,treatment
1552731,4/1/20,treatment
1532445,4/1/20,treatment
1552232,4/1/20,treatment
1550950,4/1/20,treatment
1556025,4/1/20,control
1554713,4/1/20,control
1541269,4/1/20,treatment
1544488,4/1/20,treatment
1537921,4/1/20,treatment
1557258,4/1/20,treatment
1539017,4/1/20,treatment
1549551,4/1/20,treatment
1547262,4/1/20,control
1533797,4/1/20,control
1549907,4/1/20,control
1540174,4/1/20,control
1537137,4/1/20,treatment
1533418,4/1/20,control
1538881,4/1/20,control
1542796,4/1/20,treatment
1548122,4/1/20,treatment
1535524,4/1/20,treatment
1533655,4/1/20,treatment
1535481,4/1/20,control
1540191,4/1/20,control
1540032,4/1/20,treatment
1541362,4/1/20,treatment
1554478,4/1/20,treatment
1555668,4/1/20,control
1537393,4/1/20,control
1544677,4/1/20,control
1554112,4/1/20,control
1543783,4/1/20,treatment
1545304,4/1/20,treatment
1551543,4/1/20,control
1551090,4/1/20,control
1554943,4/1/20,treatment
1531700,4/1/20,treatment
1538373,4/1/20,treatment
1548899,4/1/20,control
1541566,4/1/20,control
1542997,4/1/20,control
1554662,4/1/20,treatment
1553872,4/1/20,treatment
1534122,4/1/20,treatment
1545470,4/1/20,treatment
1538074,4/1/20,treatment
1548461,4/1/20,control
1546561,4/1/20,control
1551106,4/1/20,control
1544861,4/1/20,treatment
1543001,4/1/20,treatment
1543639,4/1/20,treatment
1544678,4/1/20,treatment
1557020,4/1/20,control
1533297,4/1/20,control
1555268,4/1/20,control
1544930,4/1/20,control
1544250,4/1/20,treatment
1540528,4/1/20,treatment
1546550,4/1/20,treatment
1534535,4/1/20,treatment
1539161,4/1/20,treatment
1553306,4/1/20,treatment
1532278,4/1/20,treatment
1555108,4/1/20,treatment
1539160,4/1/20,treatment
1550724,4/1/20,treatment
1554878,4/1/20,treatment
1545857,4/1/20,treatment
1544235,4/1/20,treatment
1549626,4/1/20,treatment
1531476,4/1/20,treatment
1538503,4/1/20,treatment
1537140,4/1/20,control
1537572,4/1/20,control
1534485,4/1/20,treatment
1551391,4/1/20,treatment
1538840,4/1/20,treatment
1550977,4/1/20,treatment
1534232,4/1/20,treatment
1536912,4/1/20,control
1537201,4/1/20,control
1548992,4/1/20,treatment
1532439,4/1/20,treatment
1540666,4/1/20,treatment
1542213,4/1/20,treatment
1539096,4/1/20,treatment
1555227,4/1/20,treatment
1544740,4/1/20,treatment
1551339,4/1/20,treatment
1541906,4/1/20,treatment
1533092,4/1/20,control
1542766,4/1/20,control
1533582,4/1/20,control
1552617,4/1/20,control
1539469,4/1/20,treatment
1551155,4/1/20,treatment
1541168,4/1/20,treatment
1541940,4/1/20,treatment
1555088,4/1/20,treatment
1539513,4/1/20,control
1552054,4/1/20,control
1551822,4/1/20,treatment
1539479,4/1/20,treatment
1547242,4/1/20,treatment
1546626,4/1/20,treatment
1556863,4/1/20,control
1535597,4/1/20,treatment
1535508,4/1/20,control
1534675,4/1/20,control
1536555,4/1/20,control
1535729,4/1/20,control
1540048,4/1/20,treatment
1537420,4/1/20,treatment
1543860,4/1/20,treatment
1555106,4/1/20,treatment
1533473,4/1/20,treatment
1552779,4/1/20,control
1536403,4/1/20,control
1555054,4/1/20,control
1552424,4/1/20,treatment
1534136,4/1/20,treatment
1536813,4/1/20,control
1554446,4/1/20,control
1554259,4/1/20,treatment
1533258,4/1/20,control
1532365,4/1/20,treatment
1555258,4/1/20,treatment
1533658,4/1/20,treatment
1551162,4/1/20,treatment
1548837,4/1/20,treatment
1553859,4/1/20,treatment
1533707,4/1/20,treatment
1536255,4/1/20,control
1537463,4/1/20,control
1547275,4/1/20,treatment
1540839,4/1/20,treatment
1552148,4/1/20,control
1549769,4/1/20,control
1549694,4/1/20,treatment
1557069,4/1/20,treatment
1554092,4/1/20,treatment
1553193,4/1/20,treatment
1540897,4/1/20,treatment
1556028,4/1/20,treatment
1539942,4/1/20,treatment
1538033,4/1/20,treatment
1535402,4/1/20,treatment
1547143,4/1/20,treatment
1555399,4/1/20,treatment
1540520,4/1/20,treatment
1532084,4/1/20,control
1546107,4/1/20,control
1541591,4/1/20,control
1534075,4/1/20,treatment
1544223,4/1/20,treatment
1557090,4/1/20,treatment
1553078,4/1/20,treatment
